"Chemical Formula","Mineral Name","S0 J/mol.k","HF0 KJ/mol","V0 cm3/mol","GF0 KJ/mol","T min","T max","a1","a2","a3","a4","a5","a6","a7","Comments"
"Ca2SiO4","alphaprime",116.049,-2198.074,52.298,-2079.989,200,1800,"0.0","-4.835440e4","0.0","-8.056381e2","1.616203e2","0.0","1.889700e-5","Ca2SiO4,alphaprime = Ca2SiO4,alpha @ 1710, S0 = 8.415, H0 = 14.390 ###"
"Ca2SiO4","alpha",,,,,200,1800,"0.0","-5.951e4","0.0","-1.052325e3","1.996000e2","0.0","0.0",
"Ca2SiO4","beta",126.719,-2306.697,51.6,-2191.794,200,1000,"0.0","-2.120900e3","-2.094286e3","-1.538485e3","2.496890e2","0.0","0.0","Ca2SiO4,beta = Ca2SiO4,alphaprime  @ 970, S0 = 1.576, H0 = 1.528 ###"
"Ca3SiO5","Crystal",168.6,-2933.13,72.742,-2787.747,200,1800,"-6.525972e4","-4.046000e3","-2.766085e3","-2.053310e3","3.339197e2","-2.325287e-3","0.0","CaO,Lime + Ca2SiO4,alphaprime = Ca3SiO5,Crystal @ 1522.76, S0 = 7.114, H0 = 10.834 ###         "
"Ca3Si2O7","Rankinite",210.6,-3973.202,96.506,-3773.595,200,1400,"3.397203e5","1.106750e4","-4.318802e3","-2.971338e3","4.732091e2","-2.103545e-2","0.0",
"H2","Gas",130.57,0,24789.2,0,200,1800,"-5.104060e5","-1.8603165e4","4.101650e2","1.29375e2","7.44240","5.85357e-3","-1.38995e-6",
"H2O","Liquid",69.921,-285.808,18.069,-237.16,200,1800,"6.6170441e5","-1.19320e4","-2.6676397e3","-1.5130719e3","2.2085094e2","-3.0064551e-2","0.0","H2O,Liquid = H2O,Gas @ 373.15, S0 = 109.487, H0 = 40.856 ###"
"H2O","Gas",188.731,-241.836,24789.2,-228.611,200,1800,"-1.310770e5","-1.499812e4","2.99188e2","1.55636e2","1.04381e1","1.29775e-2","-4.46885e-6",
"O2","Gas",205.033,0,24789.2,0,200,1800,"1.84663e5","-6.3230e3","-1.70675e2","-3.75052e1","3.54525e1","3.17977e-3","-1.85549e-6",
"SiO2","alpha",41.46,-910.699,22.688,-856.321,200,1800,"0.0","1.05800e3","-7.77338e2","-5.29232e2","8.32101e1","1.09962e-2","0.0","SiO2,alpha = SiO2,beta @ 844, S0 = 0.904, H0 = 0.764 ###"
"SiO2","beta",,,,,200,1800,"0.0","-1.801085e4","0.0","-3.00994e2","5.89107e1","5.0208e-3","0.0",
"Si","Crystal",18.81,0,12.056,0,200,1800,"-4.48020e5","-3.83500e3","-1.77189e2","-4.82356e2","3.17050e1","2.81373e-4","0.0","Si,Crystal = Si,Liquid @1685, S0 = 30.001, H0 = 50.551 ###"
"Si","Liquid",,,,,200,1800,"0.0","-7.610e3","0.0","-9.78143e1","2.55224e1","0.0","0.0",
